trial,scene,task,planner_profile,avoidance_profile,accepted,status,task_status,elapsed_sec,path_length_m,min_obstacle_dist_m,near_collision_events,near_collision_threshold_m,route,error,notes
1,office,delivery,smac_2d,baseline_costmap,True,FAILED,FAILED,0.645,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=smac_2d avoidance=baseline_costmap
2,office,delivery,smac_2d,baseline_costmap,True,FAILED,FAILED,0.015,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=smac_2d avoidance=baseline_costmap
3,office,delivery,smac_2d,baseline_costmap,True,FAILED,FAILED,0.013,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=smac_2d avoidance=baseline_costmap
4,office,delivery,smac_2d,baseline_costmap,True,FAILED,FAILED,0.018,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=smac_2d avoidance=baseline_costmap
5,office,delivery,smac_2d,baseline_costmap,True,FAILED,FAILED,0.012,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=smac_2d avoidance=baseline_costmap
6,office,delivery,smac_2d,baseline_costmap,True,FAILED,FAILED,0.016,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=smac_2d avoidance=baseline_costmap
7,office,delivery,smac_2d,baseline_costmap,True,FAILED,FAILED,0.012,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=smac_2d avoidance=baseline_costmap
8,office,delivery,smac_2d,baseline_costmap,True,FAILED,FAILED,0.013,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=smac_2d avoidance=baseline_costmap
9,office,delivery,smac_2d,baseline_costmap,True,FAILED,FAILED,0.012,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=smac_2d avoidance=baseline_costmap
10,office,delivery,smac_2d,baseline_costmap,True,FAILED,FAILED,0.015,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=smac_2d avoidance=baseline_costmap
