trial,scene,task,planner_profile,avoidance_profile,accepted,status,task_status,elapsed_sec,path_length_m,min_obstacle_dist_m,near_collision_events,near_collision_threshold_m,route,error,notes
1,office,delivery,navfn_astar,collision_monitor,True,FAILED,FAILED,0.014,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=navfn_astar avoidance=collision_monitor
2,office,delivery,navfn_astar,collision_monitor,True,FAILED,FAILED,0.012,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=navfn_astar avoidance=collision_monitor
3,office,delivery,navfn_astar,collision_monitor,True,FAILED,FAILED,0.012,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=navfn_astar avoidance=collision_monitor
4,office,delivery,navfn_astar,collision_monitor,True,FAILED,FAILED,0.016,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=navfn_astar avoidance=collision_monitor
5,office,delivery,navfn_astar,collision_monitor,True,FAILED,FAILED,0.014,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=navfn_astar avoidance=collision_monitor
6,office,delivery,navfn_astar,collision_monitor,True,FAILED,FAILED,0.014,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=navfn_astar avoidance=collision_monitor
7,office,delivery,navfn_astar,collision_monitor,True,FAILED,FAILED,0.014,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=navfn_astar avoidance=collision_monitor
8,office,delivery,navfn_astar,collision_monitor,True,FAILED,FAILED,0.012,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=navfn_astar avoidance=collision_monitor
9,office,delivery,navfn_astar,collision_monitor,True,FAILED,FAILED,0.013,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=navfn_astar avoidance=collision_monitor
10,office,delivery,navfn_astar,collision_monitor,True,FAILED,FAILED,0.013,0.0,-1.0,0,0.25,charger -> supplies -> pantry -> lounge -> hardware -> coe -> charger,,matrix scene=office planner=navfn_astar avoidance=collision_monitor
